CreatedYear,CreatedMonth,Invested_Value
2038,7,110820849.23794772
2038,8,111497566.4217198
2038,9,112178557.8665953
2038,10,112863851.1055806
2038,11,113553473.85151312
2038,12,114247453.99825013
2039,1,114945819.62186572
2039,2,115648598.98185588
2039,3,116355820.52235116
2039,4,117067512.87333806
2039,5,117783704.85188816
2039,6,118504425.46339576
2039,7,119229703.90282352
2039,8,119959569.5559568
2039,9,120694052.00066608
2039,10,121433181.00817798
2039,11,122176986.5443549
2039,12,122925498.770983
2040,1,123678748.04706895
2040,2,124436764.93014549
2040,3,125199580.17758532
2040,4,125967224.74792448
2040,5,126739729.80219388
2040,6,127517126.70526011
2040,7,128299447.02717544
2040,8,129086722.54453649
2040,9,129878985.24185205
2040,10,130676267.31292044
2040,11,131478601.16221575
2040,12,132286019.4062834
2041,1,133098554.87514526
2041,2,133916240.61371411
2041,3,134739109.88321754
2041,4,135567196.1626313
2041,5,136400533.1501227
2041,6,137239154.76450312
2041,7,138083095.14669073
2041,8,138932388.66118273
2041,9,139787069.89753777
2041,10,140647173.67186797
2041,11,141512735.0283413
2041,12,142383789.2406937
2042,1,143260371.81375176
2042,2,144142518.48496532
2042,3,145030265.22595042
2042,4,145923648.2440427
2042,5,146822703.98386127
2042,6,147727469.12888283
2042,7,148637980.60302675
2042,8,149554275.57225043
2042,9,150476391.4461558
2042,10,151404365.87960598
2042,11,152338236.77435368
2042,12,153278042.28067973
2043,1,154223820.79904312
2043,2,155175610.9817419
2043,3,156133451.7345854
2043,4,157097382.21857768
2043,5,158067441.85161218
2043,6,159043670.31017783
2043,7,160026107.5310767
2043,8,161014793.7131532
2043,9,162009769.31903487
2043,10,163011075.0768848
2043,11,164018751.98216602
2043,12,165032841.2994177
2044,1,166053384.56404328
2044,2,167080423.58411056
2044,3,168114000.4421642
2044,4,169154157.49705002
2044,5,170200937.38575187
2044,6,171254383.02524093
2044,7,172314537.61433703
2044,8,173381444.63558304
2044,9,174455147.8571317
2044,10,175535691.3346448
2044,11,176623119.41320583
2044,12,177717476.729245
2045,1,178818808.2124774
2045,2,179927159.08785418
2045,3,181042574.87752703
2045,4,182165101.4028257
2045,5,183294784.78624916
2045,6,184431671.45346943
2045,7,185575808.1353503
2045,8,186727241.869978
2045,9,187886020.0047069
2045,10,189052190.1982184
2045,11,190225800.42259383
2045,12,191406898.9654012
2046,1,192595534.43179616
2046,2,193791755.74663743
2046,3,194995612.15661573
2046,4,196207153.232398
2046,5,197426428.87078524
2046,6,198653489.29688567
2046,7,199888385.0663021
2046,8,201131167.06733403
2046,9,202381886.5231949
2046,10,203640594.9942444
2046,11,204907344.3802352
2046,12,206182186.92257544
2047,1,207465175.2066069
2047,2,208756362.16389704
2047,3,210055801.07454845
2047,4,211363545.5695224
2047,5,212679649.63297883
2047,6,214004167.604632
2047,7,215337154.182122
2047,8,216678664.4234024
2047,9,218028753.7491439
2047,10,219387477.9451545
2047,11,220754893.16481543
2047,12,222131055.9315345
2048,1,223516023.14121512
2048,2,224909852.0647426
2048,3,226312600.35048705
2048,4,227724326.0268231
2048,5,229145087.5046671
2048,6,230574943.580031
2048,7,232013953.43659365
2048,8,233462176.6482898
2048,9,234919673.18191615
2048,10,236386503.3997556
2048,11,237862728.06221852
2048,12,239348408.33050263
2049,1,240843605.76927057
2049,2,242348382.3493456
2049,3,243862800.4504254
2049,4,245386922.8638148
2049,5,246920812.79517636
2049,6,248464533.8673
2049,7,250018150.1228912
2049,8,251581726.0273784
2049,9,253155326.4717388
2049,10,254739016.77534407
2049,11,256332862.6888249
2049,12,257936930.3969548
2050,1,259551286.5215541
2050,2,261175998.12441316
