,Company,Country,CreatedDate,Ticker,Quantity,Stock_Price,Invested_Value,ESGScore
4568,Zhejiang Expressway Co Ltd,China,11/11/2020, ZHEXF,10000,0.779999971,7799.99971,0.396825397
4618,Zhejiang Expressway Co Ltd,China,1/21/2021, ZHEXF,10000,0.860000014,8600.00014,0.396825397
4669,Zhejiang Expressway Co Ltd,China,3/3/2021, ZHEXF,10000,0.860000014,8600.00014,0.396825397
4720,Zhejiang Expressway Co Ltd,China,4/1/2021, ZHEXF,10000,0.889999986,8899.99986,0.396825397
4772,Zhejiang Expressway Co Ltd,China,5/3/2021, ZHEXF,10000,0.860000014,8600.00014,0.396825397
4824,Zhejiang Expressway Co Ltd,China,7/15/2021, ZHEXF,10000,0.870000005,8700.00005,0.396825397
4876,Zhejiang Expressway Co Ltd,China,8/9/2021, ZHEXF,10000,0.839999974,8399.99974,0.396825397
4928,Zhejiang Expressway Co Ltd,China,9/2/2021, ZHEXF,10000,0.819999993,8199.99993,0.396825397
4980,Zhejiang Expressway Co Ltd,China,9/9/2021, ZHEXF,10000,0.910000026,9100.00026,0.396825397
5032,Zhejiang Expressway Co Ltd,China,10/19/2021, ZHEXF,10000,0.819999993,8199.99993,0.396825397
5083,Zhejiang Expressway Co Ltd,China,10/29/2021, ZHEXF,10000,0.819999993,8199.99993,0.396825397
5134,Zhejiang Expressway Co Ltd,China,12/14/2021, ZHEXF,10000,0.910000026,9100.00026,0.396825397
5185,Zhejiang Expressway Co Ltd,China,1/25/2022, ZHEXF,10000,0.850000024,8500.00024,0.396825397
5236,Zhejiang Expressway Co Ltd,China,2/9/2022, ZHEXF,10000,0.860000014,8600.00014,0.396825397
5287,Zhejiang Expressway Co Ltd,China,2/16/2022, ZHEXF,10000,0.899999976,8999.99976,0.396825397
5338,Zhejiang Expressway Co Ltd,China,3/16/2022, ZHEXF,10000,0.899999976,8999.99976,0.396825397
5389,Zhejiang Expressway Co Ltd,China,4/11/2022, ZHEXF,10000,0.860000014,8600.00014,0.396825397
5440,Zhejiang Expressway Co Ltd,China,5/11/2022, ZHEXF,10000,0.819999993,8199.99993,0.396825397
5491,Zhejiang Expressway Co Ltd,China,6/14/2022, ZHEXF,10000,0.889999986,8899.99986,0.396825397
5542,Zhejiang Expressway Co Ltd,China,7/15/2022, ZHEXF,10000,0.899999976,8999.99976,0.396825397
5593,Zhejiang Expressway Co Ltd,China,8/8/2022, ZHEXF,10000,0.800000012,8000.00012,0.396825397
5649,Zhejiang Expressway Co Ltd,China,9/14/2022, ZHEXF,10000,0.790000021,7900.00021,0.396825397
5707,Zhejiang Expressway Co Ltd,China,10/19/2022, ZHEXF,10000,0.639999986,6399.99986,0.396825397
5765,Zhejiang Expressway Co Ltd,China,11/9/2022, ZHEXF,10000,0.689999998,6899.99998,0.396825397
5822,Zhejiang Expressway Co Ltd,China,12/16/2022, ZHEXF,10000,0.800000012,8000.00012,0.396825397
5879,Zhejiang Expressway Co Ltd,China,1/27/2023, ZHEXF,10000,0.879999995,8799.99995,0.396825397
5936,Zhejiang Expressway Co Ltd,China,2/8/2023, ZHEXF,10000,0.850000024,8500.00024,0.396825397
5994,Zhejiang Expressway Co Ltd,China,2/24/2023, ZHEXF,10000,0.800000012,8000.00012,0.396825397
6053,Zhejiang Expressway Co Ltd,China,3/9/2023, ZHEXF,10000,0.829999983,8299.99983,0.396825397
5636,Postal Savings Bank Of China Co Ltd,China,9/14/2022, PSBKF,10000,0.550000012,5500.00012,0.396825397
5693,Postal Savings Bank Of China Co Ltd,China,10/19/2022, PSBKF,10000,0.550000012,5500.00012,0.396825397
5751,Postal Savings Bank Of China Co Ltd,China,11/9/2022, PSBKF,10000,0.550000012,5500.00012,0.396825397
5808,Postal Savings Bank Of China Co Ltd,China,12/16/2022, PSBKF,10000,0.550000012,5500.00012,0.396825397
5865,Postal Savings Bank Of China Co Ltd,China,1/27/2023, PSBKF,10000,0.668500006,6685.00006,0.396825397
5922,Postal Savings Bank Of China Co Ltd,China,2/8/2023, PSBKF,10000,0.668500006,6685.00006,0.396825397
5980,Postal Savings Bank Of China Co Ltd,China,2/24/2023, PSBKF,10000,0.668500006,6685.00006,0.396825397
6039,Postal Savings Bank Of China Co Ltd,China,3/9/2023, PSBKF,10000,0.653699994,6536.99994,0.396825397
5698,Sinopec Shanghai Petrochemical Co Ltd,China,10/19/2022, SHIIY,10000,14.80000019,148000.0019,0.396825397
5756,Sinopec Shanghai Petrochemical Co Ltd,China,11/9/2022, SHIIY,10000,14.35000038,143500.0038,0.396825397
5813,Sinopec Shanghai Petrochemical Co Ltd,China,12/16/2022, SHIIY,10000,17.18000031,171800.0031,0.396825397
5870,Sinopec Shanghai Petrochemical Co Ltd,China,1/27/2023, SHIIY,10000,19.0,190000.0,0.396825397
5927,Sinopec Shanghai Petrochemical Co Ltd,China,2/8/2023, SHIIY,10000,17.60000038,176000.0038,0.396825397
