,Company,Country,CreatedDate,Ticker,Quantity,Stock_Price,Invested_Value,ESGScore,Climate
13391,,,9/14/2022,TUYA,10000,1.200000048,12000.00048,0,
13392,,,10/19/2022,TUYA,10000,1.029999971,10299.99971,0,
13393,,,11-09-2022,TUYA,10000,0.899999976,8999.99976,0,
13394,,,12/16/2022,TUYA,10000,1.929999948,19299.99948,0.396825397,
13395,,,1/27/2023,TUYA,10000,2.900000095,29000.00095,0.396825397,
13396,,,02-08-2023,TUYA,10000,2.825000048,28250.00048,0.396825397,
13397,,,03-09-2023,TUYA,10000,1.817999959,18179.99959,0.396825397,
13398,,,4/14/2020,UBSFF,10000,75.40000153,754000.0153,0.396825397,
13399,,,5/19/2020,UBSFF,10000,72.15000153,721500.0153,0.396825397,
13400,,,06-10-2020,UBSFF,10000,76.37000275,763700.0275,0.396825397,
13401,,,7/16/2020,UBSFF,10000,82.5,825000,0.396825397,
13402,,,08-11-2020,UBSFF,10000,82.75,827500,0.396825397,
13403,,,9/28/2020,UBSFF,10000,87.25,872500,0.396825397,
13404,,,11-11-2020,UBSFF,10000,88.80000305,888000.0305,0.396825397,
13405,,,1/21/2021,UBSFF,10000,101.5,1015000,0.396825397,
13406,,,03-03-2021,UBSFF,10000,83,830000,0.396825397,
13407,,,04-01-2021,UBSFF,10000,75.44999695,754499.9695,0.396825397,
13408,,,05-03-2021,UBSFF,10000,76.06999969,760699.9969,0.396825397,
13409,,,7/15/2021,UBSFF,10000,69.95999908,699599.9908,0.396825397,
13410,,,08-09-2021,UBSFF,10000,60,600000,0.396825397,
13411,,,09-02-2021,UBSFF,10000,66.08999634,660899.9634,0.396825397,
13412,,,10/19/2021,UBSFF,10000,53.25,532500,0.396825397,
13413,,,12/14/2021,UBSFF,10000,45.65000153,456500.0153,0.396825397,
13414,,,1/25/2022,UBSFF,10000,54.00999832,540099.9832,0.396825397,
13415,,,2/16/2022,UBSFF,10000,57.25999832,572599.9832,0.396825397,
13416,,,3/16/2022,UBSFF,10000,42.45000076,424500.0076,0.396825397,
13417,,,04-11-2022,UBSFF,10000,42.06999969,420699.9969,0.396825397,
13418,,,7/15/2022,UBSFF,10000,40.34000015,403400.0015,0.396825397,
13419,,,08-08-2022,UBSFF,10000,47.34999847,473499.9847,0.396825397,
13420,,,9/14/2022,UBSFF,10000,35,350000,0.396825397,
13421,,,10/19/2022,UBSFF,10000,26.59000015,265900.0015,0.396825397,
13422,,,11-09-2022,UBSFF,10000,25.76000023,257600.0023,0.396825397,
13423,,,12/16/2022,UBSFF,10000,27.39999962,273999.9962,0.396825397,
13424,,,1/27/2023,UBSFF,10000,21.10000038,211000.0038,0.396825397,
13425,,,02-08-2023,UBSFF,10000,21.22999954,212299.9954,0.396825397,
13426,,,03-09-2023,UBSFF,10000,23.55999947,235599.9947,0.396825397,
13427,,,4/14/2020,UCLQF,10000,55,550000,0.793650794,
13428,,,5/19/2020,UCLQF,10000,55,550000,0.793650794,
13429,,,06-10-2020,UCLQF,10000,55,550000,0.793650794,
13430,,,7/16/2020,UCLQF,10000,50.5,505000,0.793650794,
13431,,,08-11-2020,UCLQF,10000,50.5,505000,0.793650794,
13432,,,9/28/2020,UCLQF,10000,50.5,505000,0.396825397,
13433,,,11-11-2020,UCLQF,10000,55,550000,0.396825397,
13434,,,1/21/2021,UCLQF,10000,55,550000,0.396825397,
13435,,,03-03-2021,UCLQF,10000,55,550000,0.396825397,
13436,,,04-01-2021,UCLQF,10000,55,550000,0.396825397,
13437,,,05-03-2021,UCLQF,10000,55,550000,0,
13438,,,7/15/2021,UCLQF,10000,55,550000,0,
13439,,,08-09-2021,UCLQF,10000,100,1000000,0,
13440,,,09-02-2021,UCLQF,10000,100,1000000,0,
13441,,,10/19/2021,UCLQF,10000,103,1030000,0,
13442,,,12/14/2021,UCLQF,10000,103,1030000,0,
13443,,,1/25/2022,UCLQF,10000,103,1030000,0,
13444,,,2/16/2022,UCLQF,10000,103,1030000,0,
13445,,,3/16/2022,UCLQF,10000,103,1030000,0,
13446,,,04-11-2022,UCLQF,10000,103,1030000,0,
13447,,,7/15/2022,UCLQF,10000,103,1030000,0,
13448,,,08-08-2022,UCLQF,10000,103,1030000,0,
13449,,,9/14/2022,UCLQF,10000,103,1030000,0,
13450,,,10/19/2022,UCLQF,10000,103,1030000,0,
13451,,,11-09-2022,UCLQF,10000,103,1030000,0,
13452,,,12/16/2022,UCLQF,10000,103,1030000,0,
13453,,,1/27/2023,UCLQF,10000,103,1030000,0,
13454,,,02-08-2023,UCLQF,10000,103,1030000,0,
13455,,,03-09-2023,UCLQF,10000,103,1030000,0,
13456,Union Electric Co,United States,4/14/2020,UELMO,10000,92.23999786,922399.9786,0.361111111,Fossil
13457,Union Electric Co,United States,5/19/2020,UELMO,10000,92.75,927500,0.361111111,Fossil
13458,Union Electric Co,United States,06-10-2020,UELMO,10000,91,910000,0.361111111,Fossil
13459,Union Electric Co,United States,7/16/2020,UELMO,10000,91,910000,0.361111111,Fossil
13460,Union Electric Co,United States,08-11-2020,UELMO,10000,91,910000,0.361111111,Fossil
13461,Union Electric Co,United States,9/28/2020,UELMO,10000,93.75,937500,0.361111111,Fossil
13462,Union Electric Co,United States,11-11-2020,UELMO,10000,93.75,937500,0.361111111,Fossil
13463,Union Electric Co,United States,1/21/2021,UELMO,10000,99.75,997500,0.361111111,Fossil
13464,Union Electric Co,United States,03-03-2021,UELMO,10000,98.75,987500,0.361111111,Fossil
13465,Union Electric Co,United States,04-01-2021,UELMO,10000,94,940000,0.361111111,Fossil
13466,Union Electric Co,United States,05-03-2021,UELMO,10000,98,980000,0.361111111,Fossil
13467,Union Electric Co,United States,7/15/2021,UELMO,10000,98,980000,0.361111111,Fossil
13468,Union Electric Co,United States,08-09-2021,UELMO,10000,94.65000153,946500.0153,0.361111111,Fossil
13469,Union Electric Co,United States,09-02-2021,UELMO,10000,93,930000,0.361111111,Fossil
13470,Union Electric Co,United States,10/19/2021,UELMO,10000,93,930000,0.361111111,Fossil
13471,Union Electric Co,United States,12/14/2021,UELMO,10000,93,930000,0.361111111,Fossil
13472,Union Electric Co,United States,1/25/2022,UELMO,10000,91.65000153,916500.0153,0.361111111,Fossil
13473,Union Electric Co,United States,2/16/2022,UELMO,10000,86,860000,0.361111111,Fossil
13474,Union Electric Co,United States,3/16/2022,UELMO,10000,86,860000,0.361111111,Fossil
13475,Union Electric Co,United States,04-11-2022,UELMO,10000,86,860000,0.361111111,Fossil
13476,Union Electric Co,United States,7/15/2022,UELMO,10000,79.80000305,798000.0305,0.361111111,Fossil
13477,Union Electric Co,United States,08-08-2022,UELMO,10000,78,780000,0.361111111,Fossil
13478,Union Electric Co,United States,9/14/2022,UELMO,10000,78,780000,0.361111111,Fossil
13479,Union Electric Co,United States,10/19/2022,UELMO,10000,77,770000,0.361111111,Fossil
13480,Union Electric Co,United States,11-09-2022,UELMO,10000,77,770000,0.361111111,Fossil
13481,Union Electric Co,United States,12/16/2022,UELMO,10000,77,770000,0.361111111,Fossil
13482,Union Electric Co,United States,1/27/2023,UELMO,10000,77,770000,0.361111111,Fossil
13483,Union Electric Co,United States,02-08-2023,UELMO,10000,77,770000,0.361111111,Fossil
13484,Union Electric Co,United States,03-09-2023,UELMO,10000,77,770000,0.361111111,Fossil
13485,,,4/14/2020,UG,10000,14.35000038,143500.0038,0.396825397,
13486,,,5/19/2020,UG,10000,15.23999977,152399.9977,0.396825397,
13487,,,06-10-2020,UG,10000,16.21999931,162199.9931,0.396825397,
13488,,,7/16/2020,UG,10000,14.85000038,148500.0038,0.396825397,
13489,,,08-11-2020,UG,10000,16.29000092,162900.0092,0.396825397,
13490,,,9/28/2020,UG,10000,15.18000031,151800.0031,0.396825397,
13491,,,11-11-2020,UG,10000,14,140000,0.396825397,
13492,,,1/21/2021,UG,10000,14.15999985,141599.9985,0.396825397,
13493,,,03-03-2021,UG,10000,14.32999992,143299.9992,0,
13494,,,04-01-2021,UG,10000,14.89999962,148999.9962,0,
13495,,,05-03-2021,UG,10000,15.18999958,151899.9958,0,
13496,,,7/15/2021,UG,10000,15.75,157500,0,
13497,,,08-09-2021,UG,10000,16,160000,0,
13498,,,09-02-2021,UG,10000,15.48999977,154899.9977,0,
13499,,,10/19/2021,UG,10000,14.68000031,146800.0031,0,
13500,,,12/14/2021,UG,10000,16.25,162500,0,
13501,,,1/25/2022,UG,10000,17.21999931,172199.9931,0,
13502,,,2/16/2022,UG,10000,19.37999916,193799.9916,0,
13503,,,3/16/2022,UG,10000,18.75,187500,0,
13504,,,04-11-2022,UG,10000,25.65999985,256599.9985,0,
13505,,,7/15/2022,UG,10000,14.68999958,146899.9958,0,
13506,,,08-08-2022,UG,10000,16.04000092,160400.0092,0,
13507,,,9/14/2022,UG,10000,13.80000019,138000.0019,0,
13508,,,10/19/2022,UG,10000,14.63000011,146300.0011,0,
13509,,,11-09-2022,UG,10000,12.96000004,129600.0004,0,
13510,,,12/16/2022,UG,10000,11.47000027,114700.0027,0,
13511,,,1/27/2023,UG,10000,11.23999977,112399.9977,0,
13512,,,02-08-2023,UG,10000,12.5,125000,0,
13513,,,03-09-2023,UG,10000,10.76000023,107600.0023,0,
13514,Underground Energy Corp,"Virgin Islands, British",4/14/2020,UGGYF,10000,0,0,0.396825397,
13515,Underground Energy Corp,"Virgin Islands, British",5/19/2020,UGGYF,10000,0,0,0.396825397,
13516,Underground Energy Corp,"Virgin Islands, British",06-10-2020,UGGYF,10000,0,0,0.396825397,
13517,Underground Energy Corp,"Virgin Islands, British",7/16/2020,UGGYF,10000,0,0,0.396825397,
13518,Underground Energy Corp,"Virgin Islands, British",08-11-2020,UGGYF,10000,0,0,0.396825397,
13519,Underground Energy Corp,"Virgin Islands, British",9/28/2020,UGGYF,10000,0,0,0.396825397,
13520,Underground Energy Corp,"Virgin Islands, British",11-11-2020,UGGYF,10000,0,0,0.396825397,
13521,Underground Energy Corp,"Virgin Islands, British",1/21/2021,UGGYF,10000,0,0,0.396825397,
13522,Underground Energy Corp,"Virgin Islands, British",03-03-2021,UGGYF,10000,0,0,0.396825397,
13523,Underground Energy Corp,"Virgin Islands, British",04-01-2021,UGGYF,10000,0,0,0.396825397,
13524,Underground Energy Corp,"Virgin Islands, British",05-03-2021,UGGYF,10000,0,0,0.396825397,
13525,Underground Energy Corp,"Virgin Islands, British",7/15/2021,UGGYF,10000,0,0,0.396825397,
13526,Underground Energy Corp,"Virgin Islands, British",08-09-2021,UGGYF,10000,0,0,0.396825397,
13527,Underground Energy Corp,"Virgin Islands, British",09-02-2021,UGGYF,10000,0,0,0.396825397,
