Ticker,CreatedDate,Quantity,Stock_Price,Invested_Value,ESGScore,Climate,Country,Company,Latitude
LVMHF,7/15/2022,10000,620.9199829,6209199.829,1.984126984,Deforestation,France,LVMH Moet Hennessy Louis Vuitton SE,20.3484
LVMHF,08-08-2022,10000,711.6500244,7116500.244,1.984126984,Deforestation,France,LVMH Moet Hennessy Louis Vuitton SE,20.3484
LVMHF,9/14/2022,10000,660.9500122,6609500.122,1.984126984,Deforestation,France,LVMH Moet Hennessy Louis Vuitton SE,20.3484
LVMHF,10/19/2022,10000,635.2700195,6352700.195,1.984126984,Deforestation,France,LVMH Moet Hennessy Louis Vuitton SE,20.3484
LVMHF,11-09-2022,10000,669.960022,6699600.22,1.984126984,Deforestation,France,LVMH Moet Hennessy Louis Vuitton SE,20.3484
LVMHF,12/16/2022,10000,739.2199707,7392199.707,1.984126984,Deforestation,France,LVMH Moet Hennessy Louis Vuitton SE,20.3484
LVMHF,1/27/2023,10000,879.9899902,8799899.902,1.984126984,Deforestation,France,LVMH Moet Hennessy Louis Vuitton SE,20.3484
LVMHF,02-08-2023,10000,865.1300049,8651300.049,1.984126984,Deforestation,France,LVMH Moet Hennessy Louis Vuitton SE,20.3484
LVMHF,03-09-2023,10000,856,8560000,1.984126984,Deforestation,France,LVMH Moet Hennessy Louis Vuitton SE,20.3484
LX,4/14/2020,10000,9.199999809,91999.99809,0,,Cayman Islands,LexinFintech Holdings Ltd,20.3484
LX,5/19/2020,10000,9.640000343,96400.00343,0,,Cayman Islands,LexinFintech Holdings Ltd,20.3484
LX,06-10-2020,10000,9.984999657,99849.99657,0,,Cayman Islands,LexinFintech Holdings Ltd,20.3484
LX,7/16/2020,10000,11.05000019,110500.0019,0,,Cayman Islands,LexinFintech Holdings Ltd,20.3484
LX,08-11-2020,10000,8.965000153,89650.00153,0,,Cayman Islands,LexinFintech Holdings Ltd,20.3484
LX,9/28/2020,10000,6.590000153,65900.00153,0.396825397,,Cayman Islands,LexinFintech Holdings Ltd,20.3484
LX,11-11-2020,10000,7.842999935,78429.99935,0.396825397,,Cayman Islands,LexinFintech Holdings Ltd,20.3484
LX,1/21/2021,10000,6.760000229,67600.00229,0.396825397,,Cayman Islands,LexinFintech Holdings Ltd,20.3484
LX,03-03-2021,10000,12.06000042,120600.0042,0.396825397,,Cayman Islands,LexinFintech Holdings Ltd,20.3484
LX,04-01-2021,10000,10.55000019,105500.0019,0.396825397,,Cayman Islands,LexinFintech Holdings Ltd,20.3484
LX,05-03-2021,10000,9.329999924,93299.99924,0.396825397,,Cayman Islands,LexinFintech Holdings Ltd,20.3484
