,Ticker,CreatedDate,Stock_Price,Quantity,Invested_Value,ESGScore,Climate,Country,Company
196, ACA,9/14/2022,57.18999863,10000,571899.9863,0.793650794,"Fossil,GenderEquality",France,Credit Agricole SA
197, ACA,10/19/2022,61.47000122,10000,614700.0122,0.793650794,"Fossil,GenderEquality",France,Credit Agricole SA
198, ACA,11/9/2022,57.14500046,10000,571450.0046,0.793650794,"Fossil,GenderEquality",France,Credit Agricole SA
199, ACA,12/16/2022,55.46900177,10000,554690.0177,0.793650794,"Fossil,GenderEquality",France,Credit Agricole SA
200, ACA,1/27/2023,58.84999847,10000,588499.9847,0.793650794,"Fossil,GenderEquality",France,Credit Agricole SA
201, ACA,2/8/2023,59.54000092,10000,595400.0092,0.793650794,"Fossil,GenderEquality",France,Credit Agricole SA
202, ACA,3/9/2023,61.15000153,10000,611500.0153,0.793650794,"Fossil,GenderEquality",France,Credit Agricole SA
203, AXAHF,4/14/2020,17.10000038,10000,171000.0038,0.396825397,"Fossil,GenderEquality",France,AXA SA
204, AXAHF,5/19/2020,17.22999954,10000,172299.9954,0.396825397,"Fossil,GenderEquality",France,AXA SA
205, AXAHF,6/10/2020,21.87000084,10000,218700.0084,0.396825397,"Fossil,GenderEquality",France,AXA SA
206, AXAHF,7/16/2020,21.11000061,10000,211100.0061,0.396825397,"Fossil,GenderEquality",France,AXA SA
207, AXAHF,8/11/2020,21.0,10000,210000.0,0.396825397,"Fossil,GenderEquality",France,AXA SA
208, AXAHF,9/28/2020,18.57999992,10000,185799.9992,0.396825397,"Fossil,GenderEquality",France,AXA SA
209, AXAHF,11/11/2020,21.53000069,10000,215300.0069,0.396825397,"Fossil,GenderEquality",France,AXA SA
210, AXAHF,1/21/2021,23.71999931,10000,237199.9931,0.396825397,"Fossil,GenderEquality",France,AXA SA
211, AXAHF,3/3/2021,26.5,10000,265000.0,0.396825397,"Fossil,GenderEquality",France,AXA SA
212, AXAHF,4/1/2021,27.29000092,10000,272900.0092,0.396825397,"Fossil,GenderEquality",France,AXA SA
213, AXAHF,5/3/2021,28.45000076,10000,284500.0076,0.396825397,"Fossil,GenderEquality",France,AXA SA
214, AXAHF,7/15/2021,25.75,10000,257500.0,0.396825397,"Fossil,GenderEquality",France,AXA SA
215, AXAHF,8/9/2021,27.97999954,10000,279799.9954,0.396825397,"Fossil,GenderEquality",France,AXA SA
216, AXAHF,9/2/2021,28.0,10000,280000.0,0.396825397,"Fossil,GenderEquality",France,AXA SA
217, AXAHF,10/19/2021,27.81999969,10000,278199.9969,0.396825397,"Fossil,GenderEquality",France,AXA SA
218, AXAHF,12/14/2021,28.13999939,10000,281399.9939,0.396825397,"Fossil,GenderEquality",France,AXA SA
219, AXAHF,1/25/2022,30.61000061,10000,306100.0061,0.396825397,"Fossil,GenderEquality",France,AXA SA
220, AXAHF,2/16/2022,31.85000038,10000,318500.0038,0.396825397,"Fossil,GenderEquality",France,AXA SA
221, AXAHF,3/16/2022,28.63999939,10000,286399.9939,0.396825397,"Fossil,GenderEquality",France,AXA SA
222, AXAHF,4/11/2022,28.61000061,10000,286100.0061,0.396825397,"Fossil,GenderEquality",France,AXA SA
223, AXAHF,7/15/2022,21.28000069,10000,212800.0069,0.396825397,"Fossil,GenderEquality",France,AXA SA
224, AXAHF,8/8/2022,24.73999977,10000,247399.9977,0.396825397,"Fossil,GenderEquality",France,AXA SA
225, AXAHF,9/14/2022,25.36000061,10000,253600.0061,0.793650794,"Fossil,GenderEquality",France,AXA SA
226, AXAHF,10/19/2022,23.75,10000,237500.0,0.793650794,"Fossil,GenderEquality",France,AXA SA
227, AXAHF,11/9/2022,26.38999939,10000,263899.9939,0.793650794,"Fossil,GenderEquality",France,AXA SA
228, AXAHF,12/16/2022,27.77000046,10000,277700.0046,0.793650794,"Fossil,GenderEquality",France,AXA SA
229, AXAHF,1/27/2023,31.17000008,10000,311700.0008,0.793650794,"Fossil,GenderEquality",France,AXA SA
230, AXAHF,2/8/2023,31.55999947,10000,315599.9947,0.793650794,"Fossil,GenderEquality",France,AXA SA
231, AXAHF,3/9/2023,31.79999924,10000,317999.9924,0.793650794,"Fossil,GenderEquality",France,AXA SA
232, SEBYF,4/14/2020,125.0,10000,1250000.0,0.396825397,GenderEquality,France,SEB SA
233, SEBYF,5/19/2020,106.0269089,10000,1060269.089,0.396825397,GenderEquality,France,SEB SA
234, SEBYF,6/10/2020,106.0269089,10000,1060269.089,0.396825397,GenderEquality,France,SEB SA
235, SEBYF,7/16/2020,139.0909119,10000,1390909.119,0.396825397,GenderEquality,France,SEB SA
